year,location,habitat_type,value,scenario,run,performance_metric
1979,Mokelumne River,spawning,1253.2074393098692,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,Paynes Creek,spawning,703.1106402354936,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,San Joaquin River,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,Stanislaus River,spawning,2022.5894755491195,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,Stony Creek,spawning,1434.22433310435,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,Sutter Bypass,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,Thomes Creek,spawning,2124.5811393410495,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,Tuolumne River,spawning,4127.215651774207,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,Upper Sacramento River,spawning,5868.122355875239,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,Upper-mid Sacramento River,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,Yolo Bypass,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1979,Yuba River,spawning,2661.7726969911337,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,American River,flood,18928.023543000003,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,American River,fry rearing,7007.607212478209,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,American River,juv rearing,19085.485143474107,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,American River,spawning,21533.230423618155,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Antelope Creek,flood,617.7105995717345,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Antelope Creek,fry rearing,3901.552843423903,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Antelope Creek,juv rearing,6777.881589370685,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Antelope Creek,spawning,1344.3208311096455,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Battle Creek,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Battle Creek,fry rearing,314.1920505238764,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Battle Creek,juv rearing,784.7589872370085,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Battle Creek,spawning,44.41833105020477,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Bear Creek,flood,236.13188976377955,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Bear Creek,fry rearing,2548.316211088386,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Bear Creek,juv rearing,3495.3645192709946,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Bear Creek,spawning,969.6665051986888,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Bear River,flood,10003.192200000001,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Bear River,fry rearing,4590.677538694547,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Bear River,juv rearing,4973.876885342726,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Bear River,spawning,340.055764455248,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Big Chico Creek,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Big Chico Creek,fry rearing,1868.7256591968512,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Big Chico Creek,juv rearing,3165.9581245509744,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Big Chico Creek,spawning,855.1040116088753,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Butte Creek,flood,3310.7745600000003,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Butte Creek,fry rearing,1659.2566176411729,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Butte Creek,juv rearing,5887.337702147706,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Butte Creek,spawning,157.43979980780585,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Calaveras River,flood,1139.17266,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Calaveras River,fry rearing,641.5136565285828,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Calaveras River,juv rearing,2415.832779988217,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Calaveras River,spawning,318.97260225278524,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Clear Creek,flood,97.19352,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Clear Creek,fry rearing,1159.141577553513,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Clear Creek,juv rearing,980.4045178139799,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Clear Creek,spawning,1236.7245061867313,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cosumnes River,flood,32886.75654,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cosumnes River,fry rearing,3782.484277313177,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cosumnes River,juv rearing,11275.471101608842,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cosumnes River,spawning,1062.365350763862,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cottonwood Creek,flood,1933.4656840909095,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cottonwood Creek,fry rearing,6441.657838010943,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cottonwood Creek,juv rearing,3163.739527759859,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cottonwood Creek,spawning,64.95459665023155,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cow Creek,flood,2615.488963598423,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cow Creek,fry rearing,15742.812219406489,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cow Creek,juv rearing,10675.208437026025,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cow Creek,spawning,4411.40081293794,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Deer Creek,flood,1231.4198691460053,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Deer Creek,fry rearing,4800.981246556474,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Deer Creek,juv rearing,11526.422589531681,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Deer Creek,spawning,1611.8440404040407,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Elder Creek,flood,706.6723499999999,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Elder Creek,fry rearing,915.5193212224096,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Elder Creek,juv rearing,1472.437923581422,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Elder Creek,spawning,402.68864226774144,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Feather River,flood,35653.68555171428,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Feather River,fry rearing,18289.63673641372,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Feather River,juv rearing,77624.62103245356,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Feather River,spawning,2514.8120140589963,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Lower Sacramento River,flood,3660.907678027925,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Lower Sacramento River,fry rearing,209.56899124032745,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Lower Sacramento River,juv rearing,1007.7900743068124,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Lower Sacramento River,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Lower-mid Sacramento River,flood,159980.18692544117,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Lower-mid Sacramento River,fry rearing,2704.296320547298,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Lower-mid Sacramento River,juv rearing,8137.857171416246,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Lower-mid Sacramento River,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Merced River,flood,10058.98824,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Merced River,fry rearing,29065.555763097444,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Merced River,juv rearing,25022.643870329583,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Merced River,spawning,2436.669023228835,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Mill Creek,flood,127.5,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Mill Creek,fry rearing,2322.0571005146653,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Mill Creek,juv rearing,3749.8805452937545,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Mill Creek,spawning,1165.8757285907834,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Mokelumne River,flood,15116.504715000001,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Mokelumne River,fry rearing,9101.207327822349,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
