year,location,habitat_type,value,scenario,run,performance_metric
1980,Big Chico Creek,fry rearing,1868.7256591968512,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Big Chico Creek,juv rearing,3165.9581245509744,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Big Chico Creek,spawning,855.1040116088753,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Butte Creek,flood,3310.77456,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Butte Creek,fry rearing,1659.2566176411729,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Butte Creek,juv rearing,5887.337702147705,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Butte Creek,spawning,157.43979980780585,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Calaveras River,flood,1139.17266,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Calaveras River,fry rearing,641.5136565285828,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Calaveras River,juv rearing,2415.832779988217,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Calaveras River,spawning,318.97260225278524,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Clear Creek,flood,97.19352,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Clear Creek,fry rearing,1159.141577553513,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Clear Creek,juv rearing,980.4045178139799,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Clear Creek,spawning,1236.7245061867313,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cosumnes River,flood,32886.75654,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cosumnes River,fry rearing,3782.484277313177,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cosumnes River,juv rearing,11275.471101608842,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cosumnes River,spawning,1062.365350763862,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cottonwood Creek,flood,1933.4656840909095,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cottonwood Creek,fry rearing,6441.657838010942,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cottonwood Creek,juv rearing,3163.739527759859,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Cottonwood Creek,spawning,64.95459665023155,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
